BoroName,NTAName,Crashes
Bronx,Allerton,3934
Bronx,Bedford Park,4512
Bronx,Belmont,6467
Bronx,Bronx Park,4551
Bronx,Castle Hill-Unionport,7654
Bronx,Claremont Park,91
Bronx,Claremont Village-Claremont (East),4174
Bronx,Co-op City,3591
Bronx,Concourse-Concourse Village,10361
Bronx,Crotona Park,557
Bronx,Crotona Park East,4430
Bronx,Eastchester-Edenwald-Baychester,10163
Bronx,Ferry Point Park-St. Raymond Cemetery,451
Bronx,Fordham Heights,4793
Bronx,Highbridge,5152
Bronx,Hunts Point,9391
Bronx,Hutchinson Metro Center,1344
Bronx,Kingsbridge Heights-Van Cortlandt Village,3172
Bronx,Kingsbridge-Marble Hill,4224
Bronx,Longwood,5571
Bronx,Melrose,6416
Bronx,Morris Park,3829
Bronx,Morrisania,4702
Bronx,Mott Haven-Port Morris,17064
Bronx,Mount Eden-Claremont (West),6290
Bronx,Mount Hope,7811
Bronx,Norwood,7177
Bronx,Parkchester,2453
Bronx,Pelham Bay Park,2583
Bronx,Pelham Bay-Country Club-City Island,2977
Bronx,Pelham Gardens,4233
Bronx,Pelham Parkway-Van Nest,4081
Bronx,Rikers Island,10
Bronx,Riverdale-Spuyten Duyvil,4157
Bronx,Soundview Park,505
Bronx,Soundview-Bruckner-Bronx River,11345
Bronx,Soundview-Clason Point,4969
Bronx,Throgs Neck-Schuylerville,6908
Bronx,Tremont,5495
Bronx,University Heights (North)-Fordham,8643
Bronx,University Heights (South)-Morris Heights,6948
Bronx,Van Cortlandt Park,2403
Bronx,Wakefield-Woodlawn,8229
Bronx,West Farms,5232
Bronx,Westchester Square,3458
Bronx,Williamsbridge-Olinville,9085
Bronx,Woodlawn Cemetery,917
Bronx,Yankee Stadium-Macombs Dam Park,899
Brooklyn,Barren Island-Floyd Bennett Field,932
Brooklyn,Bath Beach,4834
Brooklyn,Bay Ridge,12960
Brooklyn,Bedford-Stuyvesant (East),13792
Brooklyn,Bedford-Stuyvesant (West),15466
Brooklyn,Bensonhurst,11361
Brooklyn,Borough Park,10669
Brooklyn,Brighton Beach,4741
Brooklyn,Brooklyn Heights,4871
Brooklyn,Brooklyn Navy Yard,385
Brooklyn,Brownsville,9246
Brooklyn,Bushwick (East),9689
Brooklyn,Bushwick (West),9088
Brooklyn,Calvert Vaux Park,10
Brooklyn,Canarsie,14836
Brooklyn,Canarsie Park & Pier,1915
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,16020
Brooklyn,Clinton Hill,4790
Brooklyn,Coney Island-Sea Gate,7787
Brooklyn,Crown Heights (North),14920
Brooklyn,Crown Heights (South),9885
Brooklyn,Cypress Hills,7529
Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,16136
Brooklyn,Dyker Beach Park,563
Brooklyn,Dyker Heights,6825
Brooklyn,East Flatbush-Erasmus,8095
Brooklyn,East Flatbush-Farragut,5285
Brooklyn,East Flatbush-Remsen Village,7528
Brooklyn,East Flatbush-Rugby,10852
Brooklyn,East New York (North),13596
Brooklyn,East New York-City Line,7151
Brooklyn,East New York-New Lots,15025
Brooklyn,East Williamsburg,16153
Brooklyn,Flatbush,11108
Brooklyn,Flatbush (West)-Ditmas Park-Parkville,6220
Brooklyn,Flatlands,12929
Brooklyn,Fort Greene,6356
Brooklyn,Fort Hamilton,1194
Brooklyn,Gravesend (East)-Homecrest,9059
Brooklyn,Gravesend (South),4362
Brooklyn,Gravesend (West),7925
Brooklyn,Green-Wood Cemetery,757
Brooklyn,Greenpoint,8068
Brooklyn,Highland Park-Cypress Hills Cemeteries (South),12
Brooklyn,Holy Cross Cemetery,211
Brooklyn,Kensington,4799
Brooklyn,Lincoln Terrace Park,1182
Brooklyn,Madison,5917
Brooklyn,Mapleton-Midwood (West),6934
Brooklyn,Marine Park-Mill Basin-Bergen Beach,6679
Brooklyn,Marine Park-Plumb Island,2588
Brooklyn,McGuire Fields,786
Brooklyn,Midwood,7620
Brooklyn,Ocean Hill,10264
Brooklyn,Park Slope,10784
Brooklyn,Prospect Heights,4627
Brooklyn,Prospect Lefferts Gardens-Wingate,8514
Brooklyn,Prospect Park,2138
Brooklyn,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,11051
Brooklyn,Shirley Chisholm State Park,874
Brooklyn,South Williamsburg,8042
Brooklyn,Spring Creek-Starrett City,4817
Brooklyn,Sunset Park (Central),5810
Brooklyn,Sunset Park (East)-Borough Park (West),3542
Brooklyn,Sunset Park (West),14488
Brooklyn,The Evergreens Cemetery,8
Brooklyn,Williamsburg,11564
Brooklyn,Windsor Terrace-South Slope,2500
Manhattan,Central Park,3926
Manhattan,Chelsea-Hudson Yards,19837
Manhattan,Chinatown-Two Bridges,8405
Manhattan,East Harlem (North),17870
Manhattan,East Harlem (South),11081
Manhattan,East Midtown-Turtle Bay,15533
Manhattan,East Village,10243
Manhattan,Financial District-Battery Park City,10160
Manhattan,Gramercy,5924
Manhattan,Greenwich Village,5885
Manhattan,Hamilton Heights-Sugar Hill,6264
Manhattan,Harlem (North),11826
Manhattan,Harlem (South),7140
Manhattan,Hell's Kitchen,16062
Manhattan,Highbridge Park,2651
Manhattan,Inwood,5040
Manhattan,Inwood Hill Park,370
Manhattan,Lower East Side,12177
Manhattan,Manhattanville-West Harlem,3809
